Date,Price,Open,High,Low,Change
1989-07-02,1.0588,1.0588,1.0608,1.053,0.54
1989-07-03,1.0715,1.0715,1.0731,1.0561,1.2
1989-07-04,1.0766,1.0766,1.08,1.0719,0.48
1989-07-05,1.1003,1.1003,1.1021,1.0805,2.2
1989-07-06,1.0998,1.0998,1.1009,1.0924,-0.05
1989-07-07,1.1056,1.1056,1.1068,1.0934,0.53
1989-07-08,1.1056,1.1056,1.1068,1.0934,0.53
1989-07-09,1.1056,1.1056,1.1068,1.0934,0.53
1989-07-10,1.11,1.11,1.1148,1.104,0.4
1989-07-11,1.0984,1.0984,1.1044,1.0975,-1.05
1989-07-12,1.1042,1.1042,1.1052,1.0949,0.53
1989-07-13,1.094,1.094,1.1044,1.0939,-0.92
1989-07-14,1.082,1.082,1.0972,1.0814,-1.1
1989-07-15,1.082,1.082,1.0972,1.0814,-1.1
1989-07-16,1.082,1.082,1.0972,1.0814,-1.1
1989-07-17,1.0876,1.0876,1.0885,1.0789,0.52
1989-07-18,1.0918,1.0918,1.0974,1.0759,0.39
1989-07-19,1.082,1.082,1.0936,1.0817,-0.9
1989-07-20,1.0876,1.0876,1.0928,1.08,0.52
1989-07-21,1.0847,1.0847,1.0959,1.0835,-0.27
1989-07-22,1.0847,1.0847,1.0959,1.0835,-0.27
1989-07-23,1.0847,1.0847,1.0959,1.0835,-0.27
1989-07-24,1.0931,1.0931,1.094,1.0847,0.77
1989-07-25,1.1013,1.1013,1.1021,1.0914,0.75
1989-07-26,1.1115,1.1115,1.1121,1.0984,0.93
1989-07-27,1.1067,1.1067,1.1125,1.1044,-0.43
1989-07-28,1.1047,1.1047,1.1064,1.0967,-0.18
1989-07-29,1.1047,1.1047,1.1064,1.0967,-0.18
1989-07-30,1.1047,1.1047,1.1064,1.0967,-0.18
1989-07-31,1.1133,1.1133,1.1156,1.1055,0.78
1989-08-01,1.1183,1.1183,1.1219,1.1075,0.45
1989-08-02,1.1154,1.1154,1.1218,1.1154,-0.26
1989-08-03,1.1061,1.1061,1.1172,1.1036,-0.83
1989-08-04,1.0851,1.0851,1.1057,1.0847,-1.9
1989-08-05,1.0851,1.0851,1.1057,1.0847,-1.9
1989-08-06,1.0851,1.0851,1.1057,1.0847,-1.9
1989-08-07,1.0813,1.0813,1.0882,1.0789,-0.35
1989-08-08,1.0956,1.0956,1.0975,1.0828,1.32
1989-08-09,1.0936,1.0936,1.0963,1.0864,-0.18
1989-08-10,1.0886,1.0886,1.099,1.0874,-0.46
1989-08-11,1.0703,1.0703,1.087,1.065,-1.68
1989-08-12,1.0703,1.0703,1.087,1.065,-1.68
1989-08-13,1.0703,1.0703,1.087,1.065,-1.68
1989-08-14,1.0634,1.0634,1.0721,1.0607,-0.64
1989-08-15,1.0669,1.0669,1.0711,1.062,0.33
1989-08-16,1.069,1.069,1.0704,1.0623,0.2
1989-08-17,1.0555,1.0555,1.0673,1.0515,-1.26
1989-08-18,1.0605,1.0605,1.0613,1.0531,0.47
1989-08-19,1.0605,1.0605,1.0613,1.0531,0.47
1989-08-20,1.0605,1.0605,1.0613,1.0531,0.47
1989-08-21,1.0603,1.0603,1.0646,1.0539,-0.02
1989-08-22,1.0708,1.0708,1.0713,1.0588,0.99
1989-08-23,1.0626,1.0626,1.0704,1.0607,-0.77
1989-08-24,1.0608,1.0608,1.0631,1.0542,-0.17
1989-08-25,1.0589,1.0589,1.0639,1.0569,-0.18
1989-08-26,1.0589,1.0589,1.0639,1.0569,-0.18
1989-08-27,1.0589,1.0589,1.0639,1.0569,-0.18
1989-08-28,1.0574,1.0574,1.0607,1.056,-0.14
1989-08-29,1.0711,1.0711,1.0747,1.0576,1.3
1989-08-30,1.0628,1.0628,1.0747,1.0623,-0.77
1989-08-31,1.0569,1.0569,1.0636,1.0538,-0.56
1989-09-01,1.0491,1.0491,1.0577,1.048,-0.74
1989-09-02,1.0491,1.0491,1.0577,1.048,-0.74
1989-09-03,1.0491,1.0491,1.0577,1.048,-0.74
1989-09-04,1.0484,1.0484,1.0506,1.0464,-0.07
1989-09-05,1.0436,1.0436,1.0503,1.0411,-0.46
1989-09-06,1.0508,1.0508,1.0522,1.0426,0.69
1989-09-07,1.0492,1.0492,1.0508,1.0414,-0.15
1989-09-08,1.0403,1.0403,1.0503,1.0395,-0.85
1989-09-09,1.0403,1.0403,1.0503,1.0395,-0.85
1989-09-10,1.0403,1.0403,1.0503,1.0395,-0.85
1989-09-11,1.0449,1.0449,1.0468,1.0372,0.44
1989-09-12,1.0449,1.0449,1.0488,1.0431,0
1989-09-13,1.0531,1.0531,1.0539,1.0445,0.78
1989-09-14,1.0508,1.0508,1.0593,1.0488,-0.22
1989-09-15,1.0555,1.0555,1.0634,1.0359,0.45
1989-09-16,1.0555,1.0555,1.0634,1.0359,0.45
1989-09-17,1.0555,1.0555,1.0634,1.0359,0.45
1989-09-18,1.0639,1.0639,1.0659,1.0499,0.8
1989-09-19,1.0616,1.0616,1.0646,1.0573,-0.22
1989-09-20,1.0677,1.0677,1.0703,1.0574,0.57
1989-09-21,1.0663,1.0663,1.069,1.0639,-0.13
1989-09-22,1.062,1.062,1.07,1.0605,-0.4
1989-09-23,1.062,1.062,1.07,1.0605,-0.4
1989-09-24,1.062,1.062,1.07,1.0605,-0.4
1989-09-25,1.0904,1.0904,1.0917,1.0854,2.67
1989-09-26,1.0928,1.0928,1.0969,1.0829,0.22
1989-09-27,1.0994,1.0994,1.1033,1.0953,0.6
1989-09-28,1.096,1.096,1.0986,1.0912,-0.31
1989-09-29,1.1012,1.1012,1.1067,1.0973,0.47
1989-09-30,1.1012,1.1012,1.1067,1.0973,0.47
1989-10-01,1.1012,1.1012,1.1067,1.0973,0.47
1989-10-02,1.0977,1.0977,1.1033,1.0956,-0.32
1989-10-03,1.0928,1.0928,1.0992,1.09,-0.45
1989-10-04,1.0953,1.0953,1.099,1.0898,0.23
1989-10-05,1.0951,1.0951,1.1042,1.0915,-0.02
1989-10-06,1.0919,1.0919,1.0979,1.0824,-0.29
1989-10-07,1.0919,1.0919,1.0979,1.0824,-0.29
1989-10-08,1.0919,1.0919,1.0979,1.0824,-0.29
1989-10-09,1.0898,1.0898,1.0923,1.0865,-0.19
1989-10-10,1.0777,1.0777,1.091,1.0753,-1.11
1989-10-11,1.0732,1.0732,1.0809,1.0682,-0.42
1989-10-12,1.0783,1.0783,1.0803,1.0715,0.48
1989-10-13,1.1007,1.1007,1.1007,1.0726,2.08
1989-10-14,1.1007,1.1007,1.1007,1.0726,2.08
1989-10-15,1.1007,1.1007,1.1007,1.0726,2.08
1989-10-16,1.0985,1.0985,1.1145,1.0959,-0.2
1989-10-17,1.1,1.1,1.1118,1.0978,0.14
1989-10-18,1.1097,1.1097,1.1123,1.0992,0.88
1989-10-19,1.1121,1.1121,1.1166,1.106,0.22
1989-10-20,1.1053,1.1053,1.1137,1.1027,-0.61
1989-10-21,1.1053,1.1053,1.1137,1.1027,-0.61
1989-10-22,1.1053,1.1053,1.1137,1.1027,-0.61
1989-10-23,1.1114,1.1114,1.113,1.1035,0.55
1989-10-24,1.1186,1.1186,1.1205,1.1087,0.65
1989-10-25,1.1197,1.1197,1.121,1.1143,0.1
1989-10-26,1.113,1.113,1.1193,1.1101,-0.6
1989-10-27,1.1198,1.1198,1.1221,1.1018,0.61
1989-10-28,1.1198,1.1198,1.1221,1.1018,0.61
1989-10-29,1.1198,1.1198,1.1221,1.1018,0.61
1989-10-30,1.1181,1.1181,1.1193,1.1109,-0.15
1989-10-31,1.1139,1.1139,1.1178,1.1107,-0.38
1989-11-01,1.1103,1.1103,1.1183,1.1079,-0.32
1989-11-02,1.1128,1.1128,1.1151,1.1053,0.23
1989-11-03,1.1098,1.1098,1.1143,1.1087,-0.27
1989-11-04,1.1098,1.1098,1.1143,1.1087,-0.27
1989-11-05,1.1098,1.1098,1.1143,1.1087,-0.27
1989-11-06,1.1096,1.1096,1.1115,1.1052,-0.02
1989-11-07,1.1152,1.1152,1.1159,1.1083,0.5
1989-11-08,1.1141,1.1141,1.1176,1.113,-0.1
1989-11-09,1.11,1.11,1.1156,1.1094,-0.37
1989-11-10,1.102,1.102,1.1114,1.1009,-0.72
1989-11-11,1.102,1.102,1.1114,1.1009,-0.72
1989-11-12,1.102,1.102,1.1114,1.1009,-0.72
1989-11-13,1.1056,1.1056,1.1061,1.1016,0.33
1989-11-14,1.1187,1.1187,1.121,1.1058,1.18
1989-11-15,1.1146,1.1146,1.1183,1.112,-0.37
1989-11-16,1.1122,1.1122,1.1179,1.1088,-0.22
1989-11-17,1.1119,1.1119,1.1145,1.1104,-0.03
1989-11-18,1.1119,1.1119,1.1145,1.1104,-0.03
1989-11-19,1.1119,1.1119,1.1145,1.1104,-0.03
1989-11-20,1.1143,1.1143,1.1165,1.1083,0.22
1989-11-21,1.1254,1.1254,1.1273,1.1128,1
1989-11-22,1.1265,1.1265,1.1301,1.121,0.1
1989-11-23,1.1235,1.1235,1.1258,1.121,-0.27
1989-11-24,1.1321,1.1321,1.1334,1.1254,0.77
1989-11-25,1.1321,1.1321,1.1334,1.1254,0.77
1989-11-26,1.1321,1.1321,1.1334,1.1254,0.77
1989-11-27,1.1375,1.1375,1.1397,1.1333,0.48
1989-11-28,1.145,1.145,1.1481,1.1313,0.66
1989-11-29,1.1391,1.1391,1.1433,1.1345,-0.52
1989-11-30,1.1431,1.1431,1.1456,1.1334,0.35
1989-12-01,1.1389,1.1389,1.1439,1.137,-0.37
1989-12-02,1.1389,1.1389,1.1439,1.137,-0.37
1989-12-03,1.1389,1.1389,1.1439,1.137,-0.37
1989-12-04,1.1395,1.1395,1.145,1.1363,0.05
1989-12-05,1.1454,1.1454,1.1467,1.1374,0.52
1989-12-06,1.1517,1.1517,1.1536,1.1422,0.55
1989-12-07,1.1482,1.1482,1.1529,1.145,-0.3
1989-12-08,1.1507,1.1507,1.154,1.1448,0.22
1989-12-09,1.1507,1.1507,1.154,1.1448,0.22
1989-12-10,1.1507,1.1507,1.154,1.1448,0.22
1989-12-11,1.1572,1.1572,1.1576,1.1483,0.56
1989-12-12,1.1728,1.1728,1.1728,1.1528,1.35
1989-12-13,1.1734,1.1734,1.1894,1.1652,0.05
1989-12-14,1.1711,1.1711,1.1759,1.166,-0.2
1989-12-15,1.1804,1.1804,1.1804,1.1674,0.79
1989-12-16,1.1804,1.1804,1.1804,1.1674,0.79
1989-12-17,1.1804,1.1804,1.1804,1.1674,0.79
1989-12-18,1.1774,1.1774,1.1797,1.1728,-0.25
1989-12-19,1.1707,1.1707,1.1754,1.1668,-0.57
1989-12-20,1.1754,1.1754,1.1777,1.1622,0.4
1989-12-21,1.1778,1.1778,1.1799,1.1698,0.2
1989-12-22,1.1887,1.1887,1.1905,1.1764,0.93
1989-12-23,1.1887,1.1887,1.1905,1.1764,0.93
1989-12-24,1.1887,1.1887,1.1905,1.1764,0.93
1989-12-25,1.1887,1.1887,1.1887,1.1887,0
1989-12-26,1.1944,1.1944,1.1951,1.1907,0.48
